,,,,,,,,,,,
00040,Open,20,20,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [E2],E2,-,Theory,Monday,10:00 AM,12:00 PM,3119
00040,Open,20,20,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [E2],E2,-,Lab,Wednesday,2:00 PM,5:00 PM,3202
00041,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [F],F,-,Theory,Monday,2:00 PM,4:00 PM,3111
00041,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [F],F,-,Lab,Wednesday,2:00 PM,5:00 PM,3202
00042,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [G],G,-,Theory,Monday,10:00 AM,12:00 PM,3116
00042,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [G],G,-,Lab,Wednesday,8:00 AM,11:00 AM,3205
00043,Open,20,17,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [H1],H1,-,Theory,Monday,2:00 PM,4:00 PM,3120
00043,Open,20,17,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [H1],H1,-,Lab,Wednesday,8:00 AM,11:00 AM,3205
00044,Open,20,18,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [H2],H2,-,Theory,Monday,2:00 PM,4:00 PM,3120
00044,Open,20,18,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [H2],H2,-,Lab,Wednesday,11:00 AM,2:00 PM,3205
00045,Open,40,38,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [I],I,-,Theory,Monday,12:00 PM,2:00 PM,3117
00045,Open,40,38,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [I],I,-,Lab,Wednesday,11:00 AM,2:00 PM,3205
00046,Open,40,40,COMPILER DESIGN [A],A,-,Theory,Monday,9:30 AM,11:00 AM,5106
00046,Open,40,40,COMPILER DESIGN [A],A,-,Theory,Wednesday,9:30 AM,11:00 AM,5106
00047,Open,40,28,COMPILER DESIGN [B],B,-,Theory,Sunday,8:00 AM,9:30 AM,3101
00047,Open,40,28,COMPILER DESIGN [B],B,-,Theory,Tuesday,8:00 AM,9:30 AM,3101
00048,Open,40,39,COMPILER DESIGN [C],C,-,Theory,Monday,11:00 AM,12:30 PM,5106
00048,Open,40,39,COMPILER DESIGN [C],C,-,Theory,Wednesday,11:00 AM,12:30 PM,5106
00049,Open,40,39,COMPILER DESIGN [D],D,-,Theory,Sunday,9:30 AM,11:00 AM,5106
00049,Open,40,39,COMPILER DESIGN [D],D,-,Theory,Tuesday,9:30 AM,11:00 AM,5106
00050,Open,40,40,COMPILER DESIGN [E],E,-,Theory,Monday,12:30 PM,2:00 PM,3101
00050,Open,40,40,COMPILER DESIGN [E],E,-,Theory,Wednesday,12:30 PM,2:00 PM,3101
00051,Open,40,37,COMPILER DESIGN [F],F,-,Theory,Sunday,11:00 AM,12:30 PM,5106
00051,Open,40,37,COMPILER DESIGN [F],F,-,Theory,Tuesday,11:00 AM,12:30 PM,5106
00052,Open,40,37,COMPILER DESIGN [G],G,-,Theory,Monday,3:30 PM,5:00 PM,5107
00052,Open,40,37,COMPILER DESIGN [G],G,-,Theory,Wednesday,3:30 PM,5:00 PM,5107
00053,Open,40,37,COMPILER DESIGN [H],H,-,Theory,Sunday,2:00 PM,3:30 PM,3101
00053,Open,40,37,COMPILER DESIGN [H],H,-,Theory,Tuesday,2:00 PM,3:30 PM,3101
00054,Open,40,40,COMPUTER GRAPHICS [A],A,-,Theory,Sunday,8:00 AM,10:00 AM,3112
00054,Open,40,40,COMPUTER GRAPHICS [A],A,-,Lab,Tuesday,8:00 AM,11:00 AM,3202
00055,Open,20,17,COMPUTER GRAPHICS [B1],B1,-,Theory,Sunday,10:00 AM,12:00 PM,3119
00055,Open,20,17,COMPUTER GRAPHICS [B1],B1,-,Lab,Tuesday,8:00 AM,11:00 AM,3202
00056,Open,20,19,COMPUTER GRAPHICS [B2],B2,-,Theory,Sunday,10:00 AM,12:00 PM,3119
00056,Open,20,19,COMPUTER GRAPHICS [B2],B2,-,Lab,Tuesday,2:00 PM,5:00 PM,3202
00057,Open,40,40,COMPUTER GRAPHICS [C],C,-,Theory,Sunday,2:00 PM,4:00 PM,3112
00057,Open,40,40,COMPUTER GRAPHICS [C],C,-,Theory,Tuesday,2:00 PM,5:00 PM,3202
00058,Open,40,37,COMPUTER GRAPHICS [D],D,-,Theory,Wednesday,10:00 AM,12:00 PM,3113
00058,Open,40,37,COMPUTER GRAPHICS [D],D,-,Lab,Monday,8:00 AM,11:00 AM,3201
00059,Open,20,17,COMPUTER GRAPHICS [E1],E1,-,Theory,Wednesday,2:00 PM,4:00 PM,3120
00059,Open,20,17,COMPUTER GRAPHICS [E1],E1,-,Lab,Monday,8:00 AM,11:00 AM,3201
00060,Open,20,18,COMPUTER GRAPHICS [E2],E2,-,Theory,Wednesday,2:00 PM,4:00 PM,3120
00060,Open,20,18,COMPUTER GRAPHICS [E2],E2,-,Lab,Monday,11:00 AM,2:00 PM,3202
00061,Open,40,39,COMPUTER GRAPHICS [F],F,-,Theory,Wednesday,12:00 PM,2:00 PM,3113
00061,Open,40,39,COMPUTER GRAPHICS [F],F,-,Lab,Monday,11:00 AM,2:00 PM,3202
00062,Open,40,37,COMPUTER GRAPHICS [G],G,-,Theory,Tuesday,10:00 AM,12:00 PM,3113
00062,Open,40,37,COMPUTER GRAPHICS [G],G,-,Lab,Sunday,8:00 AM,11:00 AM,3204
